doc_id,title,chunk_id,chunk_index,chunk_text,chunk_length_words
cat_001,Происхождение домашней кошки,cat_001_chunk_0,0,"Домашняя кошка относится к виду Felis catus. Считается, что предком домашней кошки была ближневосточная дикая кошка Felis silvestris lybica. Одомашнивание кошек происходило постепенно, когда животные начали жить рядом с человеческими поселениями, где было много зерна и грызунов. Люди не приручали кошек так же активно, как собак, поэтому домашние кошки сохранили много черт самостоятельного хищника. Генетические исследования показывают, что современная домашняя кошка сохраняет близкое родство с дикими предками. Именно поэтому кошки даже в домашних условиях демонстрируют охотничье поведение, территориальность и выраженный",80
cat_001,Происхождение домашней кошки,cat_001_chunk_1,1,"кошка сохраняет близкое родство с дикими предками. Именно поэтому кошки даже в домашних условиях демонстрируют охотничье поведение, территориальность и выраженный интерес к движущимся объектам. Изучение происхождения кошек важно для понимания их поведения и адаптации к жизни рядом с человеком.",39
cat_002,Особенности скелета и гибкости кошки,cat_002_chunk_0,0,"Кошки известны своей гибкостью и способностью быстро менять положение тела. Это связано с особенностями строения их позвоночника, суставов и плечевого пояса. У кошки очень подвижный позвоночник, который позволяет ей сгибаться и разворачиваться во время прыжков и падений. Ключицы у кошек развиты иначе, чем у человека, поэтому передние конечности двигаются свободнее. Благодаря этому кошка может пролезать в узкие пространства, если туда проходит её голова. Гибкость тела помогает кошке во время охоты, лазания и прыжков. Однако гибкость не означает полную неуязвимость: при",80
cat_002,Особенности скелета и гибкости кошки,cat_002_chunk_1,1,"проходит её голова. Гибкость тела помогает кошке во время охоты, лазания и прыжков. Однако гибкость не означает полную неуязвимость: при неудачных падениях и травмах кошки тоже могут получать повреждения. С точки зрения биомеханики кошка является очень эффективным мелким хищником.",39
cat_003,Почему кошки хорошо видят в сумерках,cat_003_chunk_0,0,"Зрение кошек приспособлено к активности при слабом освещении. В сетчатке кошки много палочек — клеток, которые хорошо работают в сумерках. Кроме того, у кошек есть отражающий слой tapetum lucidum, который усиливает использование света и помогает видеть при низкой освещённости. Именно из-за этого глаза кошек могут ярко светиться в темноте при попадании света. При этом кошки различают цвета хуже человека и видят мир менее насыщенным по оттенкам. Их зрение лучше подходит для обнаружения движения, чем для распознавания мелких неподвижных деталей. Такая",80
cat_003,Почему кошки хорошо видят в сумерках,cat_003_chunk_1,1,"видят мир менее насыщенным по оттенкам. Их зрение лучше подходит для обнаружения движения, чем для распознавания мелких неподвижных деталей. Такая особенность полезна для охоты на мелкую добычу. С точки зрения эволюции это связано с образом жизни сумеречного хищника, который наиболее активен утром и вечером.",44
cat_004,Слух кошек и ориентация на звук,cat_004_chunk_0,0,"Слух у кошек очень чувствительный и играет важную роль в охоте и ориентировании в пространстве. Кошки способны улавливать высокочастотные звуки, в том числе писк мелких грызунов. Их ушные раковины могут поворачиваться независимо, что помогает точнее определять направление источника звука. Благодаря этому кошка может быстро понять, откуда идёт шум, даже если объект скрыт от глаз. Слух особенно важен в условиях слабого освещения, когда зрение работает не идеально. Комбинация чувствительного слуха и хорошего зрения в сумерках делает кошку эффективным охотником. Исследования поведения",80
cat_004,Слух кошек и ориентация на звук,cat_004_chunk_1,1,"освещения, когда зрение работает не идеально. Комбинация чувствительного слуха и хорошего зрения в сумерках делает кошку эффективным охотником. Исследования поведения показывают, что кошки быстро реагируют на резкие и необычные звуки, но могут игнорировать знакомые и безопасные бытовые шумы.",38
cat_005,Вибриссы и пространственная ориентация,cat_005_chunk_0,0,"Вибриссы, которые часто называют усами, являются важным сенсорным инструментом кошки. Они расположены не только на морде, но и над глазами, на подбородке и на передних лапах. Вибриссы помогают кошке оценивать расстояние до объектов, чувствовать движение воздуха и лучше ориентироваться в темноте. Они особенно полезны в узких пространствах и при исследовании окружения. Вибриссы нельзя рассматривать как обычную шерсть, потому что они связаны с чувствительными нервными структурами. Повреждение или сильное укорочение вибрисс может ухудшить ориентацию животного. С научной точки зрения вибриссы —",80
cat_005,Вибриссы и пространственная ориентация,cat_005_chunk_1,1,"связаны с чувствительными нервными структурами. Повреждение или сильное укорочение вибрисс может ухудшить ориентацию животного. С научной точки зрения вибриссы — это важная часть сенсорной системы, которая дополняет зрение, слух и осязание.",31
